"","lamsim","nsamp","npers","alpha","meanlamest","stddevlamest","stderrlamest","pbiaslamest","nreps"
"1",0.0201,2,500,0,0.0208,0.01114,0.00025,3.66,2000
"2",0.0403,2,500,0,0.0401,0.01772,4e-04,-0.47,2000
"3",0.1017,2,500,0,0.1015,0.0285,0.00064,-0.21,2000
"4",0.2071,2,500,0,0.2068,0.04044,9e-04,-0.15,2000
"5",0.4308,2,500,0,0.4306,0.05641,0.00126,-0.05,2000
"6",0.6755,2,500,0,0.6754,0.07278,0.00163,-0.01,2000
"7",0.0201,3,500,0,0.0208,0.00933,0.00021,3.62,2000
"8",0.0403,3,500,0,0.0404,0.0146,0.00033,0.23,2000
"9",0.1017,3,500,0,0.1017,0.02285,0.00051,0.02,2000
"10",0.2071,3,500,0,0.2086,0.03372,0.00075,0.7,2000
"11",0.4308,3,500,0,0.4323,0.04631,0.00104,0.33,2000
"12",0.6755,3,500,0,0.6738,0.05694,0.00127,-0.25,2000
"13",0.0201,4,500,0,0.0206,0.00918,0.00021,2.81,2000
"14",0.0403,4,500,0,0.0406,0.0135,3e-04,0.86,2000
"15",0.1017,4,500,0,0.1012,0.02145,0.00048,-0.52,2000
"16",0.2071,4,500,0,0.2082,0.02974,0.00067,0.5,2000
"17",0.4308,4,500,0,0.4308,0.04272,0.00096,-0.02,2000
"18",0.6755,4,500,0,0.6728,0.0521,0.00116,-0.4,2000
"19",0.0201,5,500,0,0.021,0.00871,0.00019,4.44,2000
"20",0.0403,5,500,0,0.0401,0.01281,0.00029,-0.39,2000
"21",0.1017,5,500,0,0.1016,0.02076,0.00046,-0.16,2000
"22",0.2071,5,500,0,0.2079,0.02873,0.00064,0.38,2000
"23",0.4308,5,500,0,0.4308,0.03972,0.00089,0,2000
"24",0.6755,5,500,0,0.6748,0.04837,0.00108,-0.1,2000
"25",0.0201,6,500,0,0.0206,0.00829,0.00019,2.44,2000
"26",0.0403,6,500,0,0.0405,0.01283,0.00029,0.6,2000
"27",0.1017,6,500,0,0.1019,0.02083,0.00047,0.2,2000
"28",0.2071,6,500,0,0.2079,0.02827,0.00063,0.36,2000
"29",0.4308,6,500,0,0.4311,0.04081,0.00091,0.07,2000
"30",0.6755,6,500,0,0.6756,0.04843,0.00108,0.02,2000
"31",0.0201,2,500,1,0.0209,0.01217,0.00027,4.01,2000
"32",0.0403,2,500,1,0.0408,0.02013,0.00045,1.39,2000
"33",0.1017,2,500,1,0.1014,0.03231,0.00072,-0.33,2000
"34",0.2071,2,500,1,0.2077,0.04754,0.00106,0.25,2000
"35",0.4308,2,500,1,0.4338,0.06964,0.00156,0.68,2000
"36",0.6755,2,500,1,0.6776,0.08745,0.00196,0.32,2000
"37",0.0201,3,500,1,0.0211,0.01057,0.00024,5.32,2000
"38",0.0403,3,500,1,0.0399,0.01621,0.00036,-0.92,2000
"39",0.1017,3,500,1,0.1022,0.02659,0.00059,0.42,2000
"40",0.2071,3,500,1,0.2073,0.03845,0.00086,0.08,2000
"41",0.4308,3,500,1,0.4301,0.05547,0.00124,-0.18,2000
"42",0.6755,3,500,1,0.675,0.06818,0.00152,-0.07,2000
"43",0.0201,4,500,1,0.0206,0.00966,0.00022,2.72,2000
"44",0.0403,4,500,1,0.0404,0.01467,0.00033,0.28,2000
"45",0.1017,4,500,1,0.1023,0.02415,0.00054,0.53,2000
"46",0.2071,4,500,1,0.208,0.03462,0.00077,0.4,2000
"47",0.4308,4,500,1,0.4316,0.04898,0.0011,0.17,2000
"48",0.6755,4,500,1,0.676,0.06402,0.00143,0.08,2000
"49",0.0201,5,500,1,0.0206,0.00912,2e-04,2.57,2000
"50",0.0403,5,500,1,0.0402,0.01427,0.00032,-0.07,2000
"51",0.1017,5,500,1,0.1022,0.02258,5e-04,0.44,2000
"52",0.2071,5,500,1,0.207,0.03287,0.00073,-0.06,2000
"53",0.4308,5,500,1,0.4319,0.04611,0.00103,0.25,2000
"54",0.6755,5,500,1,0.6771,0.05971,0.00134,0.24,2000
"55",0.0201,6,500,1,0.0207,0.0089,2e-04,2.98,2000
"56",0.0403,6,500,1,0.0402,0.01307,0.00029,-0.16,2000
"57",0.1017,6,500,1,0.1021,0.02169,0.00049,0.35,2000
"58",0.2071,6,500,1,0.2066,0.03091,0.00069,-0.25,2000
"59",0.4308,6,500,1,0.4308,0.04356,0.00097,-0.02,2000
"60",0.6755,6,500,1,0.6767,0.05496,0.00123,0.18,2000
"61",0.0201,2,500,2,0.0234,0.01627,0.00036,16.37,2000
"62",0.0403,2,500,2,0.0415,0.02591,0.00058,3.16,2000
"63",0.1017,2,500,2,0.1014,0.04476,0.001,-0.3,2000
"64",0.2071,2,500,2,0.2064,0.06403,0.00143,-0.37,2000
"65",0.4308,2,500,2,0.4298,0.09711,0.00217,-0.24,2000
"66",0.6755,2,500,2,0.6655,0.11337,0.00259,-1.47,1923
"67",0.0201,3,500,2,0.0219,0.01351,3e-04,8.98,2000
"68",0.0403,3,500,2,0.04,0.02164,0.00048,-0.79,2000
"69",0.1017,3,500,2,0.1016,0.0371,0.00083,-0.12,2000
"70",0.2071,3,500,2,0.2083,0.0517,0.00116,0.54,2000
"71",0.4308,3,500,2,0.4282,0.07863,0.00176,-0.62,2000
"72",0.6755,3,500,2,0.6737,0.10071,0.00225,-0.26,2000
"73",0.0201,4,500,2,0.0214,0.01278,0.00029,6.88,2000
"74",0.0403,4,500,2,0.0399,0.01948,0.00044,-0.84,2000
"75",0.1017,4,500,2,0.1021,0.03318,0.00074,0.37,2000
"76",0.2071,4,500,2,0.2062,0.04603,0.00103,-0.47,2000
"77",0.4308,4,500,2,0.4321,0.06976,0.00156,0.29,2000
"78",0.6755,4,500,2,0.6747,0.0908,0.00203,-0.12,2000
"79",0.0201,5,500,2,0.0217,0.0118,0.00026,8.24,2000
"80",0.0403,5,500,2,0.0402,0.01863,0.00042,-0.24,2000
"81",0.1017,5,500,2,0.1014,0.02902,0.00065,-0.34,2000
"82",0.2071,5,500,2,0.2087,0.04285,0.00096,0.74,2000
"83",0.4308,5,500,2,0.4327,0.06395,0.00143,0.43,2000
"84",0.6755,5,500,2,0.6759,0.08165,0.00183,0.06,2000
"85",0.0201,6,500,2,0.0211,0.01075,0.00024,5.1,2000
"86",0.0403,6,500,2,0.0398,0.01695,0.00038,-1.25,2000
"87",0.1017,6,500,2,0.1019,0.02763,0.00062,0.18,2000
"88",0.2071,6,500,2,0.2067,0.04007,9e-04,-0.2,2000
"89",0.4308,6,500,2,0.4302,0.05903,0.00132,-0.15,2000
"90",0.6755,6,500,2,0.6772,0.076,0.0017,0.26,2000
"91",0.0201,2,500,3,0.0248,0.02282,0.00051,23.51,1969
"92",0.0403,2,500,3,0.036,0.02757,0.00064,-10.52,1874
"93",0.1017,2,500,3,0.058,0.02907,0.00083,-42.94,1224
"94",0.2071,2,500,3,0.0721,0.0244,0.00132,-65.2,340
"95",0.4308,2,500,3,0.0733,0.02334,0.00953,-82.98,6
"96",0.6755,2,500,3,0.0884,NA,NA,-86.91,1
"97",0.0201,3,500,3,0.0249,0.01986,0.00044,24.18,2000
"98",0.0403,3,500,3,0.0425,0.03171,0.00071,5.45,2000
"99",0.1017,3,500,3,0.101,0.05668,0.00127,-0.68,2000
"100",0.2071,3,500,3,0.2005,0.07146,0.00163,-3.23,1913
"101",0.4308,3,500,3,0.2881,0.05145,0.00216,-33.13,569
"102",0.6755,3,500,3,0.3248,0.0261,0.00461,-51.91,32
"103",0.0201,4,500,3,0.0238,0.01847,0.00041,18.74,2000
"104",0.0403,4,500,3,0.0411,0.02831,0.00063,2.02,2000
"105",0.1017,4,500,3,0.1017,0.05001,0.00112,-0.01,2000
"106",0.2071,4,500,3,0.209,0.07034,0.00157,0.89,2000
"107",0.4308,4,500,3,0.4244,0.09625,0.00219,-1.49,1926
"108",0.6755,4,500,3,0.5424,0.07083,0.00247,-19.7,820
"109",0.0201,5,500,3,0.023,0.01618,0.00036,14.84,2000
"110",0.0403,5,500,3,0.0413,0.0263,0.00059,2.53,2000
"111",0.1017,5,500,3,0.1008,0.04394,0.00098,-0.89,2000
"112",0.2071,5,500,3,0.2072,0.06471,0.00145,0.05,2000
"113",0.4308,5,500,3,0.4296,0.09547,0.00213,-0.29,2000
"114",0.6755,5,500,3,0,0,0,0,0
"115",0.0201,6,500,3,0.022,0.01427,0.00032,9.72,2000
"116",0.0403,6,500,3,0.0404,0.0243,0.00066,0.24,1353
"117",0.1017,6,500,3,0.102,0.04107,0.00092,0.3,2000
"118",0.2071,6,500,3,0.207,0.05853,0.00131,-0.06,2000
"119",0.4308,6,500,3,0.4354,0.09203,0.00206,1.06,2000
"120",0.6755,6,500,3,0,0,0,0,0
